,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,mae,MAHAL,mse,measurement,MahalRank,MeasurementRank,CombRank
632816,2.751625126873341,15.442187827875987,55.45591471755928,750.151657610274,10.514183702749342,-16.025015729827533,-38.47122698408898,-21.973630912883714,-28.78605123910792,-15.593749920666783,69.4083300328594,754.619723589382,55261.93257888302,743.3837002442482,1048575.0,1048575.0,1048575.0
126404,8.290461474192437,4.255697036189533,-0.1025338752876971,18.35530363449843,-20.437882267080862,43.64730292484355,206.93808769489837,454.1265736302563,221.41685068954462,-12.937677040735677,92.41629430105777,548.6289153426657,29924.50667918899,547.0329668236549,1048574.0,1048574.0,1048574.0
126399,7.522122759518446,3.4300960019440536,-0.14766823201327783,12.977530376348952,-16.0199910089573,32.1848324636574,151.8279587750621,322.35633563699963,147.68019356625976,-10.207409378545735,65.43048075780106,387.82503337421826,14907.75318845247,386.1055968054914,1048573.0,1048573.0,1048573.0
138829,5.891312223702677,3.772662176273373,-0.7380369930471015,11.156405416244686,-11.842997140055274,25.5106251402913,119.74345021899697,275.6181422510858,143.09891486779543,-4.205101453123037,56.30848050829322,334.31098653678254,11084.669696208099,332.93647586601406,1048572.0,1048572.0,1048572.0
585118,3.9930790650328443,8.506245805861061,26.037383793622716,325.68591341604036,6.097692880025044,3.225629336652392,-19.165093567904943,-1.8319921323941246,-8.641000462152181,-10.186725523994772,31.364871409987455,327.77162822030635,10021.289830246997,316.5642088146889,1048571.0,1048571.0,1048571.0
108896,5.141494641391667,3.7778754790395013,-0.08365444880038735,9.39423522951204,-9.646479301806762,21.224462710514107,97.84752482936553,233.64869334986162,130.02035638795746,-3.6300343021443773,48.0755095925894,285.9314928226413,8101.943376349105,284.63912900985883,1048570.0,1048570.0,1048570.0
85886,4.419284454302775,8.513722919126346,20.652857759994692,280.30701580268493,1.9127388014674425,-6.776236348303228,-13.203597184397532,-8.693549756882572,-9.719308164155978,-4.248710363738814,25.67078049490783,281.96202301124106,7326.080252578732,270.6673281461716,1048569.0,1048569.0,1048569.0
918305,2.100933697857128,1.0578536862735706,-0.2686710382334181,8.60454917243313,-5.688928368193567,19.36859961019521,90.76674899035389,220.3540430490378,119.05635183669375,-0.23232629314838762,44.898369253601814,267.3127866054197,7079.583635304404,266.07486982622777,1048568.0,1048568.0,1048568.0
934793,9.288913211807209,81.43231025289612,114.58554993420397,13.653720216686436,-73.29661694785185,46.15388133179923,77.25640465573461,-66.66747625247162,41.013769247203605,176.38846240725937,38.20319710357827,265.9783367075491,5886.438776059178,242.6198420587067,1048567.0,1048566.0,1048566.5
934780,9.289868265519099,81.10630087295907,113.28102873265539,-1.67866724776106,-73.21597048295564,46.50169796681506,77.9034471464915,-65.97199399665695,41.62043466442903,176.00762173245755,36.667091805840634,264.8681254784614,5832.042501220227,241.49622152779588,1048566.0,1048565.0,1048565.5
